supplier_id,name,country,contact_email,location
SUP-001,"Rodriguez, Figueroa and Sanchez",Burundi,rhodespatricia@garza.com,East Jessetown
SUP-002,"Gonzalez, Santos and Gardner",Cyprus,zlawrence@blake.biz,Joshuaborough
SUP-003,Garcia-James,Guinea-Bissau,cassandra07@martinez.com,Barbaraland
SUP-004,Stanley LLC,Belgium,michellejames@reid-diaz.com,Jasonview
SUP-005,"Zuniga, Wong and Lynch",Chile,frankgray@watts.com,Port Antonio
SUP-006,Morales-Jones,United States Minor Outlying Islands,jason76@ellis.net,Juliechester
SUP-007,"Ross, Robinson and Bright",Malawi,ddavis@hernandez.biz,South Patrickmouth
SUP-008,"King, Tran and Dunlap",Pitcairn Islands,maldonadoamanda@mack-peterson.com,Mooretown
SUP-009,"Liu, Baker and Mason",Christmas Island,harrellkenneth@romero.com,New Mariotown
SUP-010,Hickman LLC,Dominican Republic,allenashley@miller.com,East Donna
SUP-011,"Martin, Rose and Obrien",Croatia,jenniferross@santos.com,East Caleb
SUP-012,Chapman and Sons,Namibia,adrianzimmerman@perez.com,New Johnfort
SUP-013,Ryan Ltd,Vietnam,esanchez@lee-davis.biz,Rodneymouth
SUP-014,"Brown, Valdez and Lucas",Bahamas,zchandler@wright.net,Taylorburgh
SUP-015,Ford-Baxter,Belarus,jmorton@williams.com,Port Melindaburgh
SUP-016,Tucker-Lewis,Iran,martinaaron@baker-bowers.info,Rodneyside
SUP-017,"Higgins, Moore and Phillips",Azerbaijan,adkinsbrian@woods.com,Port Jacobland
SUP-018,"Hensley, Powell and David",Montenegro,bethwilliams@barnes.org,Sarahborough
SUP-019,"Moran, Allen and Foster",Paraguay,stephen10@howell-hart.com,New Jasonview
SUP-020,Mahoney Inc,Turkmenistan,mikemoore@warner.net,Lake Lisaport
